year,speeches
1996,10
1997,212
1998,204
1999,281
2000,298
2001,313
2002,337
2003,338
2004,572
2005,599
2006,717
2007,836
2008,871
2009,848
2010,949
2011,944
2012,920
2013,1003
2014,936
2015,866
2016,911
2017,1022
2018,923
2019,1011
2020,711
2021,672
2022,761
2023,742
2024,816
2025,744
2026,361
